"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","2.998733","11.750000"
"*","STITCH","0.002778","11.750000"
"*","STITCH","0.007837","11.500000"
"*","STITCH","0.748733","11.500000"
"*","STITCH","3.748733","11.500000"
"*","STITCH","4.690568","11.500000"
"*","STITCH","4.720463","11.250000"
"*","STITCH","4.498733","11.250000"
"*","STITCH","1.498733","11.250000"
"*","STITCH","0.019886","11.250000"
"*","STITCH","0.035089","11.000000"
"*","STITCH","2.248733","11.000000"
"*","STITCH","4.757949","11.000000"
"*","STITCH","4.805507","10.750000"
"*","STITCH","2.998733","10.750000"
"*","STITCH","0.056402","10.750000"
"*","STITCH","0.081784","10.500000"
"*","STITCH","0.748733","10.500000"
"*","STITCH","3.748733","10.500000"
"*","STITCH","4.860126","10.500000"
"*","STITCH","4.923512","10.250000"
"*","STITCH","4.498733","10.250000"
"*","STITCH","1.498733","10.250000"
"*","STITCH","0.112643","10.250000"
"*","STITCH","0.148263","10.000000"
"*","STITCH","2.248733","10.000000"
"*","STITCH","5.000837","10.000000"
"*","STITCH","5.088944","9.750000"
"*","STITCH","2.998733","9.750000"
"*","STITCH","0.188992","9.750000"
"*","STITCH","0.234938","9.500000"
"*","STITCH","0.748733","9.500000"
"*","STITCH","3.748733","9.500000"
"*","STITCH","5.189566","9.500000"
"*","STITCH","5.304722","9.250000"
"*","STITCH","4.498733","9.250000"
"*","STITCH","1.498733","9.250000"
"*","STITCH","0.285908","9.250000"
"*","STITCH","0.342297","9.000000"
"*","STITCH","2.248733","9.000000"
"*","STITCH","5.248733","9.000000"
"*","STITCH","5.436774","9.000000"
"*","STITCH","5.588491","8.750000"
"*","STITCH","2.998733","8.750000"
"*","STITCH","0.403938","8.750000"
"*","STITCH","0.470918","8.500000"
"*","STITCH","0.748733","8.500000"
"*","STITCH","3.748733","8.500000"
"*","STITCH","5.763137","8.500000"
"*","STITCH","5.964577","8.250000"
"*","STITCH","4.498733","8.250000"
"*","STITCH","1.498733","8.250000"
"*","STITCH","0.543722","8.250000"
"*","STITCH","0.621475","8.000000"
"*","STITCH","2.248733","8.000000"
"*","STITCH","5.248733","8.000000"
"*","STITCH","6.197402","8.000000"
"*","STITCH","6.467097","7.750000"
"*","STITCH","5.998733","7.750000"
"*","STITCH","2.998733","7.750000"
"*","STITCH","0.706010","7.750000"
"*","STITCH","0.794756","7.500000"
"*","STITCH","3.748733","7.500000"
"*","STITCH","6.748733","7.500000"
"*","STITCH","6.791139","7.500000"
"*","STITCH","7.188814","7.250000"
"*","STITCH","4.498733","7.250000"
"*","STITCH","1.498733","7.250000"
"*","STITCH","0.891678","7.250000"
"*","STITCH","0.991679","7.000000"
"*","STITCH","2.248733","7.000000"
"*","STITCH","5.248733","7.000000"
"*","STITCH","7.671314","7.000000"
"*","STITCH","8.292974","6.750000"
"*","STITCH","5.998733","6.750000"
"*","STITCH","4.747636","6.750000"
"*","STITCH","5.157255","6.500000"
"*","STITCH","6.748733","6.500000"
"*","STITCH","9.203654","6.500000"
"*","STITCH","10.419157","6.250000"
"*","STITCH","7.498733","6.250000"
"*","STITCH","5.445744","6.250000"
"*","STITCH","5.673617","6.000000"
"*","STITCH","8.248733","6.000000"
"*","STITCH","10.193183","6.000000"
"*","STITCH","10.031245","5.750000"
"*","STITCH","8.998733","5.750000"
"*","STITCH","5.998733","5.750000"
"*","STITCH","5.857162","5.750000"
"*","STITCH","6.020684","5.500000"
"*","STITCH","6.748733","5.500000"
"*","STITCH","9.748733","5.500000"
"*","STITCH","9.905457","5.500000"
"*","STITCH","9.808375","5.250000"
"*","STITCH","7.498733","5.250000"
"*","STITCH","6.194933","5.250000"
"*","STITCH","6.408971","5.000000"
"*","STITCH","8.248733","5.000000"
"*","STITCH","9.734674","5.000000"
"*","STITCH","9.680327","4.750000"
"*","STITCH","8.998733","4.750000"
"*","STITCH","6.688850","4.750000"
"*","STITCH","7.084050","4.500000"
"*","STITCH","9.446784","4.500000"
"*","STITCH","8.286761","4.250000"
"*","STITCH","8.100252","4.250000"
"*","STITCH","6.708605","4.735721"
"*","STITCH","5.761987","5.886691"
"*","STITCH","4.606474","6.814201"
"*","STITCH","3.387314","6.750000"
"*","STITCH","2.998733","6.750000"
"*","STITCH","1.101747","6.750000"
